SessionID,ParticipantCode,FinalPageVisited,Treatment,cmt_propr,cmt_vtr,age,sex,trans_1,trans_2,power_q1a,power_q1b,power_q2,power_q3,atq_1,atq_2,atq_3,econ,risk
19,xk8r1wsd,QuizPage,Baseline,,,,,,,,,,,,,,,
20,2h9gtjsq,Part3,Priming,I wanted a fair distribution,"Everyone else in my group thought the same way, so there wasn't anything to consider. Fairness was key for all of us",60.0,2.0,1.0,1.0,,,,,,,,,
21,q9p9zzdr,WelcomePage,Baseline,,,,,,,,,,,,,,,
22,slhnfzmh,WelcomePage,Baseline,,,,,,,,,,,,,,,
23,dnh5buoh,Part3,Baseline,Making it even,That the tokens were evenly distributed,76.0,1.0,4.0,5.0,,,,,,,,,
24,usgmbo0a,SyncBottom,Baseline,,,,,,,,,,,,,,,
25,9lggxshg,Part2,Baseline,Equality amongst the three players.,Same thing - for all three players to have equal earnings.,,,,,,,,,,,,,
26,549uysbt,Part2,Priming,That we all got the same amount of tokens. If we evenly distrubted the tokens it would more likely get a two or more yes vote.,"If it was fair then I voted yes, if someone was greedy and wanted it all for themselves then I voted No.",,,,,,,,,,,,,
27,dgig9acz,Party,Baseline,,,,,,,,,,,,,,,
28,3f43r9to,SyncBottom,Baseline,,,,,,,,,,,,,,,
29,gnk4jaqq,Part1,Baseline,,,,,,,,,,,,,,,
30,3tyuy6cs,Part3,Baseline,Seem like splitting even will be most acceptable ,If disagree no one get anything. ,30.0,1.0,3.0,5.0,,,,,,,,,
31,ncfy3nc6,WelcomePage,Baseline,,,,,,,,,,,,,,,
32,dyptgjph,Party,Baseline,,,,,,,,,,,,,,,
33,vyo9xxhv,GameStarts,Priming,,,,,,,,,,,,,,,
34,0b7cdkdw,WelcomePage,Baseline,,,,,,,,,,,,,,,
35,lp8h236z,Part1,Baseline,,,,,,,,,,,,,,,
36,mhw1vwgz,VoterPage,Baseline,,,,,,,,,,,,,,,
37,nufhy9vy,Part4,Baseline,I wanted the distribution to be equal.,I considered whether the distribution was fair.,31.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,,,,,
38,iirioxsu,Part3,Priming,"All things being equal, all things should be equal.","When all things were equal, I was fine with that.  I hesitated a little when someone gave themselves more, but I wasn't going to shoot myself in the foot to shot someone else's foot.",18.0,1.0,2.0,5.0,,,,,,,,,
39,yuaws5xw,QuizPage,Baseline,,,,,,,,,,,,,,,
40,f6wj5ed2,VoterPage,Baseline,,,,,,,,,,,,,,,
41,0d1hoip6,ProposerPage,Priming,,,,,,,,,,,,,,,
42,gqisj7ze,WaitingPage,Priming,,,,,,,,,,,,,,,
43,3po62k7s,SampleInstructions,Baseline,,,,,,,,,,,,,,,
44,3vgy0ztq,Part2,Priming,i wanted everyone to have a fair share,i wanted them to get a fair amount,,,,,,,,,,,,,
45,4j31m8xm,WaitingPage,Priming,,,,,,,,,,,,,,,
46,s3jdv211,Part4,Priming,I wanted it to be fair and everyone got the same,how fair it was for everyone and if everyone got equal distribution.,18.0,2.0,5.0,5.0,5.0,3.0,2.0,4.0,,,,,
47,hww7fiff,Priming,Priming,,,,,,,,,,,,,,,
48,zvzkwihh,SyncBottom,Priming,,,,,,,,,,,,,,,
49,azt740gt,Part4,Baseline,Fairness and equity.,Fairness and equity.,49.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,,,,,
50,5k74pjrj,WaitingPage,Priming,,,,,,,,,,,,,,,
51,4lv0b8qh,Priming,Priming,,,,,,,,,,,,,,,
52,nza48nbh,QuizPage,Baseline,,,,,,,,,,,,,,,
53,72quzxua,Part4,Priming,Getting as many tokens as I could,Getting a better deal than 0,51.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,,
54,oyc7d9sb,VoterPage,Baseline,,,,,,,,,,,,,,,
55,2ci4t6ay,VoterPage,Baseline,,,,,,,,,,,,,,,
56,lim1br1b,WaitingPage,Priming,,,,,,,,,,,,,,,
57,4hr53mns,WaitingPage,Priming,,,,,,,,,,,,,,,
58,l8876xx6,QuizPage,Baseline,,,,,,,,,,,,,,,
59,4rp90gdd,VoterPage,Baseline,,,,,,,,,,,,,,,
60,cfajmnps,Party,Baseline,,,,,,,,,,,,,,,
61,ueblibld,SyncTop,Baseline,,,,,,,,,,,,,,,
62,jjp6fil2,AreYouThere,Priming,,,,,,,,,,,,,,,
63,dzv9cu5i,VoterPage,Baseline,,,,,,,,,,,,,,,
64,21yc2svc,QuizPage,Baseline,,,,,,,,,,,,,,,
65,is4l7twp,FailedPage,Baseline,,,,,,,,,,,,,,,
66,gojnn1fa,Part4,Baseline,"I only cared about the likelihood of the proposal going through, which means being as balanced as possible.",How many tokens I specifically would receive.,36.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,,,,,
67,p8ihbndu,QuizPage,Baseline,,,,,,,,,,,,,,,
68,q7jkuv03,ProposerPage,Priming,,,,,,,,,,,,,,,
69,iirc3prl,VoterPage,Baseline,,,,,,,,,,,,,,,
70,g3lg7k96,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
71,k8n799jx,VoterPage,Baseline,,,,,,,,,,,,,,,
72,8tf6mpw7,VoterPage,Baseline,,,,,,,,,,,,,,,
73,vxjoaihk,VoterPage,Baseline,,,,,,,,,,,,,,,
74,yyn8wssq,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
75,x58xu178,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
76,2xrp8nmu,SyncTop,Baseline,,,,,,,,,,,,,,,
77,ny5dmabw,WaitingPage,Priming,,,,,,,,,,,,,,,
78,29r7eoh3,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
79,q502s6k6,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
80,k5lcbt6p,Priming,Priming,,,,,,,,,,,,,,,
81,2bf4hpf3,SyncTop,Baseline,,,,,,,,,,,,,,,
82,rg88j88o,VoterPage,Baseline,,,,,,,,,,,,,,,
83,q6t7wn6l,VoterPage,Baseline,,,,,,,,,,,,,,,
84,1gegs3v4,QuizPage,Baseline,,,,,,,,,,,,,,,
85,e0vmym7d,ProposerPage,Priming,,,,,,,,,,,,,,,
86,9xchnpk4,Party,Baseline,,,,,,,,,,,,,,,
87,3bbqipv1,WaitingPage,Priming,,,,,,,,,,,,,,,
88,l1tvhg37,ProposerPage,Priming,,,,,,,,,,,,,,,
89,zkdleo9m,WelcomePage,Baseline,,,,,,,,,,,,,,,
90,baxt3v8y,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
91,w3yaks4i,WelcomePage,Baseline,,,,,,,,,,,,,,,
92,g475wwkk,WelcomePage,Baseline,,,,,,,,,,,,,,,
93,6clkiexr,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
94,470e342h,Priming,Priming,,,,,,,,,,,,,,,
95,ncv1ryuq,AreYouThereVoter,Baseline,,,,,,,,,,,,,,,
96,kj69tydj,VoterPage,Baseline,,,,,,,,,,,,,,,
97,yhg3nang,VoterPage,Baseline,,,,,,,,,,,,,,,
98,bgmdpqrz,Priming,Priming,,,,,,,,,,,,,,,
99,g9q7aig0,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
100,ext9tp90,ProposerPage,Priming,,,,,,,,,,,,,,,
101,9dlz7hnn,QuizPage,Baseline,,,,,,,,,,,,,,,
102,72ws9c05,ProposerPage,Priming,,,,,,,,,,,,,,,
103,9xzw5pl7,VoterPage,Baseline,,,,,,,,,,,,,,,
104,vu8h441m,Priming,Priming,,,,,,,,,,,,,,,
105,db5qlirc,WaitingPage,Priming,,,,,,,,,,,,,,,
106,yknzwxoz,QuizPage,Baseline,,,,,,,,,,,,,,,
107,qh8mqdaz,QuizPage,Baseline,,,,,,,,,,,,,,,
108,6bl5pjhj,WaitingPage,Priming,,,,,,,,,,,,,,,
109,y1n1ktt5,SyncTop,Baseline,,,,,,,,,,,,,,,
110,cly1b5ts,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
111,e2vzdla9,QuizPage,Baseline,,,,,,,,,,,,,,,
112,7cus0fnf,Priming,Priming,,,,,,,,,,,,,,,
113,oonj4j2g,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
114,1q3hb5um,SampleInstructions,Baseline,,,,,,,,,,,,,,,
115,g1zg92no,VoterPage,Baseline,,,,,,,,,,,,,,,
116,3o9iwhqs,QuizPage,Baseline,,,,,,,,,,,,,,,
117,11trrjaz,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
118,nsu5u4dj,WelcomePage,Baseline,,,,,,,,,,,,,,,
119,oajnj8qo,Party,Baseline,,,,,,,,,,,,,,,
120,eo1u8c3a,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
121,0v7w6kmk,QuizPage,Baseline,,,,,,,,,,,,,,,
122,a58zavt7,SampleInstructions,Baseline,,,,,,,,,,,,,,,
123,g4i11ocb,Party,Baseline,,,,,,,,,,,,,,,
124,wwsz21i5,SyncTop,Baseline,,,,,,,,,,,,,,,
125,eklp3oqn,Party,Baseline,,,,,,,,,,,,,,,
126,iwkwvqxt,SampleInstructions,Baseline,,,,,,,,,,,,,,,
127,0s04p4zt,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
128,wesxae87,WelcomePage,Baseline,,,,,,,,,,,,,,,
129,024vu4yn,Party,Baseline,,,,,,,,,,,,,,,
130,4jxk0uoz,QuizPage,Baseline,,,,,,,,,,,,,,,
131,r91kpskk,WelcomePage,Baseline,,,,,,,,,,,,,,,
132,d77cfs8l,SampleInstructions,Baseline,,,,,,,,,,,,,,,
133,cc2rytjb,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
134,8z4azhcq,Party,Baseline,,,,,,,,,,,,,,,
135,ziy4kaf4,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
136,8jc39nkh,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
137,llm6czt0,SampleInstructions,Baseline,,,,,,,,,,,,,,,
138,90bocieo,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
139,2bo0eqkq,Party,Baseline,,,,,,,,,,,,,,,
140,v22g1yde,Party,Baseline,,,,,,,,,,,,,,,
141,9lwm79cx,WelcomePage,Baseline,,,,,,,,,,,,,,,
142,qvjz9x18,Party,Baseline,,,,,,,,,,,,,,,
143,tl0bjvrq,Party,Baseline,,,,,,,,,,,,,,,
144,19il95vb,,Baseline,,,,,,,,,,,,,,,
145,wn04f3sp,WelcomePage,Baseline,,,,,,,,,,,,,,,
146,7l9w4g2m,WelcomePage,Baseline,,,,,,,,,,,,,,,
147,c9y2gg8a,,Baseline,,,,,,,,,,,,,,,
148,teeld8pf,,Baseline,,,,,,,,,,,,,,,
149,uxz0bzgq,,Baseline,,,,,,,,,,,,,,,
150,60uhe03x,,Baseline,,,,,,,,,,,,,,,
151,hm4brlcf,,Baseline,,,,,,,,,,,,,,,
152,m0dfn3mx,,Baseline,,,,,,,,,,,,,,,
153,62ol6jv8,,Baseline,,,,,,,,,,,,,,,
154,45ytjykl,,Baseline,,,,,,,,,,,,,,,
155,z09qbrya,,Baseline,,,,,,,,,,,,,,,
156,pocyh6b7,,Baseline,,,,,,,,,,,,,,,
157,qj4wdflq,,Baseline,,,,,,,,,,,,,,,
158,b5dvyvay,,Baseline,,,,,,,,,,,,,,,
159,sobjk77e,,Baseline,,,,,,,,,,,,,,,
160,kg7iqpy1,,Baseline,,,,,,,,,,,,,,,
161,x22noryn,,Baseline,,,,,,,,,,,,,,,
162,44xhy2ma,,Baseline,,,,,,,,,,,,,,,
163,iskgf213,,Baseline,,,,,,,,,,,,,,,
164,zaoa9dru,,Baseline,,,,,,,,,,,,,,,
165,f3x33jdq,,Baseline,,,,,,,,,,,,,,,
166,n2xh0s3h,,Baseline,,,,,,,,,,,,,,,
167,n8o1e0w9,,Baseline,,,,,,,,,,,,,,,
168,nswel5ny,,Baseline,,,,,,,,,,,,,,,
169,1hyfln9f,,Baseline,,,,,,,,,,,,,,,
170,nsr3jmbt,,Baseline,,,,,,,,,,,,,,,
171,xoeqhhu4,,Baseline,,,,,,,,,,,,,,,
172,j03ewnif,,Baseline,,,,,,,,,,,,,,,
173,xc5o9e13,,Baseline,,,,,,,,,,,,,,,
174,q9h7qj88,,Baseline,,,,,,,,,,,,,,,
175,dnkuwb3q,,Baseline,,,,,,,,,,,,,,,
176,isdwwhz4,,Baseline,,,,,,,,,,,,,,,
177,ni1fjrrt,,Baseline,,,,,,,,,,,,,,,
178,rdom1njm,,Baseline,,,,,,,,,,,,,,,
179,krytl9sp,,Baseline,,,,,,,,,,,,,,,
180,banioej1,,Baseline,,,,,,,,,,,,,,,
181,rvfgx6dq,,Baseline,,,,,,,,,,,,,,,
182,jb8z6gar,,Baseline,,,,,,,,,,,,,,,
183,lon17ede,,Baseline,,,,,,,,,,,,,,,
184,eepijlea,,Baseline,,,,,,,,,,,,,,,
185,y9p9w40b,,Baseline,,,,,,,,,,,,,,,
186,lbfbaqxd,,Baseline,,,,,,,,,,,,,,,
187,e16sqlau,,Baseline,,,,,,,,,,,,,,,
188,8pjgg97p,,Baseline,,,,,,,,,,,,,,,
189,1s8uxdu0,,Baseline,,,,,,,,,,,,,,,
190,yvm8bu24,,Baseline,,,,,,,,,,,,,,,
191,v9zonltb,,Baseline,,,,,,,,,,,,,,,
192,6w5vpei9,,Baseline,,,,,,,,,,,,,,,
193,uhbkiktt,,Baseline,,,,,,,,,,,,,,,
194,44ogh2s1,,Baseline,,,,,,,,,,,,,,,
195,sniq0lnp,,Baseline,,,,,,,,,,,,,,,
196,9ee1npit,,Baseline,,,,,,,,,,,,,,,
197,txg7oynd,,Baseline,,,,,,,,,,,,,,,
198,lqwfirbw,,Baseline,,,,,,,,,,,,,,,
199,iqq2yuav,,Baseline,,,,,,,,,,,,,,,
200,fa7uav3v,,Baseline,,,,,,,,,,,,,,,
201,himds5e8,,Baseline,,,,,,,,,,,,,,,
202,7w0b5h2m,,Baseline,,,,,,,,,,,,,,,
203,lyl4trhg,,Baseline,,,,,,,,,,,,,,,
204,kduutzhr,,Baseline,,,,,,,,,,,,,,,
205,tvn9mkpi,,Baseline,,,,,,,,,,,,,,,
206,8sppfq66,,Baseline,,,,,,,,,,,,,,,
207,5gnan9oo,,Baseline,,,,,,,,,,,,,,,
208,vm716gu6,,Baseline,,,,,,,,,,,,,,,
209,b79qn1lf,,Baseline,,,,,,,,,,,,,,,
210,5z41z4ie,,Baseline,,,,,,,,,,,,,,,
211,65ma2liu,,Baseline,,,,,,,,,,,,,,,
212,coqujpw4,,Baseline,,,,,,,,,,,,,,,
213,ln7kf3ys,,Baseline,,,,,,,,,,,,,,,
214,qyfqrmzm,,Baseline,,,,,,,,,,,,,,,
215,0rj3c612,,Baseline,,,,,,,,,,,,,,,
216,k59epam9,,Baseline,,,,,,,,,,,,,,,
217,h5y3w8do,,Baseline,,,,,,,,,,,,,,,
218,8k3np2qj,,Baseline,,,,,,,,,,,,,,,
219,psd20zpr,,Baseline,,,,,,,,,,,,,,,
220,7nd61ubh,,Baseline,,,,,,,,,,,,,,,
221,1kt07box,,Baseline,,,,,,,,,,,,,,,
222,lntt2wse,,Baseline,,,,,,,,,,,,,,,
223,vg9al9di,,Baseline,,,,,,,,,,,,,,,
224,lbvwt0z2,,Baseline,,,,,,,,,,,,,,,
225,tbo0iuou,,Baseline,,,,,,,,,,,,,,,
226,7kpzyrvw,,Baseline,,,,,,,,,,,,,,,
227,59qb13ee,,Baseline,,,,,,,,,,,,,,,
228,ayl5od7l,,Baseline,,,,,,,,,,,,,,,
229,7mjpo7th,,Baseline,,,,,,,,,,,,,,,
230,xhhd3n6a,,Baseline,,,,,,,,,,,,,,,
231,ahvpia8x,,Baseline,,,,,,,,,,,,,,,
232,v8i64bmm,,Baseline,,,,,,,,,,,,,,,
233,7vwweniv,,Baseline,,,,,,,,,,,,,,,
234,o74p04b1,,Baseline,,,,,,,,,,,,,,,
235,igjjh3q3,,Baseline,,,,,,,,,,,,,,,
236,mn0gcfxv,,Baseline,,,,,,,,,,,,,,,
237,kld9h0uy,,Baseline,,,,,,,,,,,,,,,
238,n2jf3tlt,,Baseline,,,,,,,,,,,,,,,
239,9el1uugx,,Baseline,,,,,,,,,,,,,,,
240,86744ezi,,Baseline,,,,,,,,,,,,,,,
